trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.126131200013333,,0.06159430000116117,5,0.126131200013333,0.126131200013333,0.10426819999702275,2.6789106000069296,[0.31833333333333336],[0.33166666666666667],[1],[0],[0],[2.575172199998633],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
1,0,1,0,2.7254901000123937,,2.7040751000022283,5,2.7254901000123937,2.7254901000123937,0.010380599997006357,4.364246400000411,[-0.48833333333333334],[0.15],[1],[0],[0],[1.6499525999970501],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
2,0,2,0,4.39357570001448,,4.366323800000828,5,4.39357570001448,4.39357570001448,0.012286000011954457,5.979714000000968,[0.0033333333333333335],[-0.37333333333333335],[1],[0],[0],[1.6011542000051122],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
3,0,3,0,6.024858300006599,,5.981756800014409,10,6.024858300006599,6.024858300006599,0.021684699997422285,7.679389300014009,[0.4216666666666667],[0.17166666666666666],[1],[0],[0],[1.6760560999973677],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
4,0,4,0,7.726375400001416,,7.681521500009694,10,7.726375400001416,7.726375400001416,0.022429799995734356,10.579287400003523,[-0.43833333333333335],[0.19166666666666668],[1],[0],[0],[2.875415200003772],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
5,0,5,0,10.60853210001369,,10.581384400007664,5,10.60853210001369,10.60853210001369,0.012471599999116734,12.362644600012572,[0.36666666666666664],[-0.2633333333333333],[1],[0],[0],[1.7688456000032602],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
6,0,6,0,12.408256300011999,,12.364787700003944,10,12.408256300011999,12.408256300011999,0.02050309999322053,14.029194000002462,[0.035],[0.22833333333333333],[1],[0],[0],[1.6439211000106297],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
7,0,7,0,14.057265800001915,,14.031275100001949,5,14.057265800001915,14.057265800001915,0.011797800005297177,15.377892100004829,[-0.06833333333333333],[0.165],[1],[0],[0],[1.334854799992172],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
8,0,8,0,15.424811300006695,,15.380000500008464,10,15.424811300006695,15.424811300006695,0.02359660000365693,17.911387100000866,[-0.07666666666666666],[-0.245],[1],[0],[0],[2.507849499990698],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
9,0,9,0,17.939800800013472,,17.91353700000036,5,17.939800800013472,17.939800800013472,0.011975000001257285,19.361052800013567,[0.39666666666666667],[-0.28833333333333333],[1],[0],[0],[1.435704599993187],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
10,0,10,0,19.407536400001845,,19.36324630001036,10,19.407536400001845,19.407536400001845,0.021334799996111542,21.077991200014367,[-0.4166666666666667],[0.0],[1],[0],[0],[1.69361430000572],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
11,0,11,0,21.12418530001014,,21.08008690000861,10,21.12418530001014,21.12418530001014,0.020110199999180622,23.19517440001073,[0.2],[0.3516666666666667],[1],[0],[0],[2.095113000003039],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
12,0,12,0,23.24009860001388,,23.197245800009114,10,23.24009860001388,23.24009860001388,0.02099150000140071,25.977611700000125,[-0.14333333333333334],[-0.35],[1],[0],[0],[2.759453000006033],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
13,0,13,0,26.022171800010256,,25.97970310000528,10,26.022171800010256,26.022171800010256,0.02136899999459274,31.42609100000118,[0.18833333333333332],[0.495],[1],[0],[0],[5.425068599986844],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
14,0,14,0,31.472199499999988,,31.428189000012935,10,31.472199499999988,31.472199499999988,0.021181699994485825,33.75907640000514,[-0.08166666666666667],[-0.25333333333333335],[1],[0],[0],[2.3098377999995137],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
15,0,15,0,33.78778690000763,,33.76122880000912,5,33.78778690000763,33.78778690000763,0.011979300004895777,35.77401500000269,[-0.36333333333333334],[0.37666666666666665],[1],[0],[0],[2.000951399997575],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
16,0,16,0,35.82078890000412,,35.77608060000057,10,35.82078890000412,35.82078890000412,0.020298399991588667,37.124524400001974,[0.36666666666666664],[-0.30833333333333335],[1],[0],[0],[1.3282459999900311],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
17,0,17,0,37.170699000009336,,37.12659060000442,10,37.170699000009336,37.170699000009336,0.019608500006143004,39.32603320000635,[0.015],[0.09333333333333334],[1],[0],[0],[2.1799649000022328],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
18,0,18,0,39.354480300011346,,39.3281003000011,5,39.354480300011346,39.354480300011346,0.011583200001041405,41.058428000003914,[-0.44],[0.385],[1],[0],[0],[1.71886569999333],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
19,0,19,0,41.088437100013834,,41.06047030001355,5,41.088437100013834,41.088437100013834,0.011355599999660626,42.87540080001054,[0.215],[-0.11833333333333333],[1],[0],[0],[1.8036544999922626],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
20,0,20,0,42.92123610000999,,42.877468500009854,10,42.92123610000999,42.92123610000999,0.020620799987227656,46.458023400002276,[-0.37333333333333335],[-0.37333333333333335],[1],[0],[0],[3.559994299997925],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
